busqueda,id grabacion,Cual es el id,Grabacion,CallerID
1739020809.32168,,,Tiene grabacion,""")"
1739020973.32334,,,Tiene grabacion,""")"
1739021016.32385,,,Tiene grabacion,""")"
1739021686.32857,,,Tiene grabacion,""")"
1739021971.32962,,,Tiene grabacion,""")"
1739022261.33099,,,No tiene grabacion,No tiene callerid
1739022282.33119,,,Tiene grabacion,No tiene callerid
1739022285.33121,,,Tiene grabacion,No tiene callerid
1739022299.33126,,,Tiene grabacion,No tiene callerid
1739022392.33153,,,Tiene grabacion,No tiene callerid
1739022393.33156,,,No tiene grabacion,No tiene callerid
1739022404.33159,,,Tiene grabacion,No tiene callerid
1739022411.33161,,,Tiene grabacion,No tiene callerid
1739022412.33163,,,Tiene grabacion,No tiene callerid
1739022443.33194,,,Tiene grabacion,No tiene callerid
1739022444.33196,,,Tiene grabacion,No tiene callerid
1739022454.33198,,,Tiene grabacion,No tiene callerid
1739022455.33199,,,Tiene grabacion,No tiene callerid
1739022457.33202,,,Tiene grabacion,No tiene callerid
1739022459.33204,,,Tiene grabacion,No tiene callerid
1739022517.33213,,,Tiene grabacion,No tiene callerid
1739022534.33221,,,Tiene grabacion,No tiene callerid
1739022580.33227,,,Tiene grabacion,No tiene callerid
1739022640.33245,,,Tiene grabacion,No tiene callerid
1739022653.33248,,,Tiene grabacion,No tiene callerid
1739022666.3326,,,Tiene grabacion,No tiene callerid
1739022666.33261,,,Tiene grabacion,No tiene callerid
1739022667.33263,,,Tiene grabacion,No tiene callerid
1739022670.33269,,,Tiene grabacion,No tiene callerid
1739022691.33278,,,Tiene grabacion,No tiene callerid
1739022707.33287,,,Tiene grabacion,No tiene callerid
1739022728.33294,,,Tiene grabacion,No tiene callerid
1739022730.33302,,,Tiene grabacion,No tiene callerid
1739022743.33314,,,Tiene grabacion,No tiene callerid
1739022749.33317,,,Tiene grabacion,No tiene callerid
1739022764.33326,,,Tiene grabacion,No tiene callerid
1739022766.33332,,,Tiene grabacion,No tiene callerid
1739022767.33342,,,Tiene grabacion,No tiene callerid
1739022770.33345,,,Tiene grabacion,No tiene callerid
1739022859.33388,,,Tiene grabacion,No tiene callerid
1739022864.33391,,,Tiene grabacion,No tiene callerid
1739022880.334,,,Tiene grabacion,No tiene callerid
1739022904.33405,,,Tiene grabacion,No tiene callerid
1739022912.3341,,,Tiene grabacion,No tiene callerid
1739022922.33414,,,Tiene grabacion,No tiene callerid
1739022938.33417,,,Tiene grabacion,No tiene callerid
1739022952.33419,,,Tiene grabacion,No tiene callerid
1739022963.33426,,,Tiene grabacion,No tiene callerid
1739022965.3343,,,Tiene grabacion,No tiene callerid
1739022975.33438,,,Tiene grabacion,No tiene callerid
1739023000.33445,,,Tiene grabacion,No tiene callerid
1739023029.33455,,,Tiene grabacion,No tiene callerid
1739023036.33458,,,Tiene grabacion,No tiene callerid
1739023055.33463,,,No tiene grabacion,No tiene callerid
1739023081.33475,,,Tiene grabacion,No tiene callerid
1739023082.33476,,,Tiene grabacion,No tiene callerid
1739023101.33488,,,Tiene grabacion,No tiene callerid
1739023113.3349,,,Tiene grabacion,No tiene callerid
1739023115.33494,,,Tiene grabacion,No tiene callerid
1739023119.335,,,Tiene grabacion,No tiene callerid
1739023133.33505,,,Tiene grabacion,No tiene callerid
1739023138.33508,,,Tiene grabacion,No tiene callerid
1739023171.33516,,,Tiene grabacion,No tiene callerid
1739023208.33527,,,Tiene grabacion,No tiene callerid
1739023233.33538,,,No tiene grabacion,No tiene callerid
1739023250.33546,,,Tiene grabacion,No tiene callerid
1739023254.33548,,,Tiene grabacion,No tiene callerid
1739023282.3355,,,Tiene grabacion,No tiene callerid
1739023283.33555,,,Tiene grabacion,No tiene callerid
1739023293.33562,,,Tiene grabacion,No tiene callerid
1739023332.3357,,,Tiene grabacion,No tiene callerid
1739023335.33574,,,Tiene grabacion,No tiene callerid
1739023336.33578,,,Tiene grabacion,No tiene callerid
1739023357.33584,,,Tiene grabacion,No tiene callerid
1739023362.33588,,,Tiene grabacion,No tiene callerid
1739023381.336,,,Tiene grabacion,No tiene callerid
1739023415.33616,,,Tiene grabacion,No tiene callerid
1739023425.33621,,,Tiene grabacion,No tiene callerid
1739023425.33622,,,Tiene grabacion,No tiene callerid
1739023428.33626,,,Tiene grabacion,No tiene callerid
1739023465.33638,,,Tiene grabacion,No tiene callerid
1739023476.33644,,,Tiene grabacion,No tiene callerid
1739023481.33649,,,Tiene grabacion,No tiene callerid
1739023487.33652,,,Tiene grabacion,No tiene callerid
1739023490.33654,,,Tiene grabacion,No tiene callerid
1739023508.33663,,,Tiene grabacion,No tiene callerid
1739023535.33664,,,Tiene grabacion,No tiene callerid
1739023567.33674,,,Tiene grabacion,No tiene callerid
1739023591.33685,,,Tiene grabacion,No tiene callerid
1739023592.33687,,,Tiene grabacion,No tiene callerid
1739023597.3369,,,Tiene grabacion,No tiene callerid
1739023608.33692,,,Tiene grabacion,No tiene callerid
1739023658.33712,,,Tiene grabacion,No tiene callerid
1739023664.33714,,,Tiene grabacion,No tiene callerid
1739023682.33718,,,Tiene grabacion,No tiene callerid
1739023699.33721,,,Tiene grabacion,No tiene callerid
1739023705.33723,,,Tiene grabacion,No tiene callerid
1739023710.33726,,,Tiene grabacion,No tiene callerid
1739023728.33729,,,Tiene grabacion,No tiene callerid
1739023732.33731,,,Tiene grabacion,No tiene callerid
1739023741.33733,,,Tiene grabacion,No tiene callerid
1739023780.33756,,,Tiene grabacion,No tiene callerid
1739023797.33758,,,Tiene grabacion,No tiene callerid
1739023807.33769,,,Tiene grabacion,No tiene callerid
1739023808.33771,,,Tiene grabacion,No tiene callerid
1739023906.33792,,,Tiene grabacion,No tiene callerid
1739023932.33798,,,Tiene grabacion,No tiene callerid
1739023937.33801,,,Tiene grabacion,No tiene callerid
1739023959.33807,,,Tiene grabacion,No tiene callerid
1739023993.33818,,,Tiene grabacion,No tiene callerid
1739023999.33821,,,Tiene grabacion,No tiene callerid
1739024022.33826,,,Tiene grabacion,No tiene callerid
1739024032.33828,,,Tiene grabacion,No tiene callerid
1739024035.3383,,,Tiene grabacion,No tiene callerid
1739024039.33833,,,Tiene grabacion,No tiene callerid
1739024056.33845,,,Tiene grabacion,No tiene callerid
1739024069.33851,,,Tiene grabacion,No tiene callerid
1739024074.33853,,,Tiene grabacion,No tiene callerid
1739024088.33855,,,Tiene grabacion,No tiene callerid
1739024088.33856,,,Tiene grabacion,No tiene callerid
1739024109.33871,,,Tiene grabacion,No tiene callerid
1739024112.33877,,,Tiene grabacion,No tiene callerid
1739024126.33883,,,Tiene grabacion,No tiene callerid
1739024155.33894,,,Tiene grabacion,No tiene callerid
1739024172.33896,,,Tiene grabacion,No tiene callerid
1739024185.33903,,,Tiene grabacion,No tiene callerid
1739024214.33915,,,Tiene grabacion,No tiene callerid
1739024247.33927,,,Tiene grabacion,No tiene callerid
1739024247.33928,,,Tiene grabacion,No tiene callerid
1739024259.33934,,,Tiene grabacion,No tiene callerid
1739024330.33947,,,Tiene grabacion,No tiene callerid
1739024332.33951,,,Tiene grabacion,No tiene callerid
1739024333.33952,,,Tiene grabacion,No tiene callerid
1739024351.33963,,,Tiene grabacion,No tiene callerid
1739024353.33968,,,Tiene grabacion,No tiene callerid
1739024356.33972,,,Tiene grabacion,No tiene callerid
1739024381.33975,,,Tiene grabacion,No tiene callerid
1739024392.33978,,,Tiene grabacion,No tiene callerid
1739024395.3398,,,Tiene grabacion,No tiene callerid
1739024405.33984,,,Tiene grabacion,No tiene callerid
1739024407.33987,,,Tiene grabacion,No tiene callerid
1739024444.34003,,,Tiene grabacion,No tiene callerid
1739024445.34004,,,Tiene grabacion,No tiene callerid
1739024464.34015,,,Tiene grabacion,No tiene callerid
1739024477.34019,,,Tiene grabacion,No tiene callerid
1739024495.34026,,,Tiene grabacion,No tiene callerid
1739024504.34029,,,Tiene grabacion,No tiene callerid
1739024530.3404,,,Tiene grabacion,No tiene callerid
1739024536.34042,,,Tiene grabacion,No tiene callerid
1739024542.34044,,,Tiene grabacion,No tiene callerid
1739024566.34053,,,Tiene grabacion,No tiene callerid
1739024596.34061,,,Tiene grabacion,No tiene callerid
1739024641.34065,,,Tiene grabacion,No tiene callerid
1739024701.34076,,,Tiene grabacion,No tiene callerid
1739024704.34078,,,Tiene grabacion,No tiene callerid
1739024708.34081,,,Tiene grabacion,No tiene callerid
1739024729.34085,,,Tiene grabacion,No tiene callerid
1739024736.34088,,,Tiene grabacion,No tiene callerid
1739024749.34092,,,Tiene grabacion,No tiene callerid
1739024751.34094,,,Tiene grabacion,No tiene callerid
1739024757.34097,,,Tiene grabacion,No tiene callerid
1739024773.34102,,,Tiene grabacion,No tiene callerid
1739024776.34107,,,Tiene grabacion,No tiene callerid
1739024806.34114,,,Tiene grabacion,No tiene callerid
1739024839.34125,,,Tiene grabacion,No tiene callerid
1739024842.34128,,,Tiene grabacion,No tiene callerid
1739024844.34129,,,Tiene grabacion,No tiene callerid
1739024862.34131,,,Tiene grabacion,No tiene callerid
1739024901.34138,,,Tiene grabacion,No tiene callerid
1739024925.34146,,,Tiene grabacion,No tiene callerid
1739024963.34153,,,Tiene grabacion,No tiene callerid
1739024981.34155,,,Tiene grabacion,No tiene callerid
1739025020.34161,,,Tiene grabacion,No tiene callerid
1739025024.34165,,,Tiene grabacion,No tiene callerid
1739025068.34169,,,Tiene grabacion,No tiene callerid
1739025070.34171,,,Tiene grabacion,No tiene callerid
1739025100.34174,,,No tiene grabacion,No tiene callerid
1739025107.34177,,,Tiene grabacion,No tiene callerid
1739025115.3418,,,No tiene grabacion,No tiene callerid
1739025137.34183,,,Tiene grabacion,No tiene callerid
1739025148.34185,,,Tiene grabacion,No tiene callerid
1739025150.34187,,,Tiene grabacion,No tiene callerid
1739025159.34191,,,Tiene grabacion,No tiene callerid
1739025161.34194,,,Tiene grabacion,No tiene callerid
1739025163.34196,,,Tiene grabacion,No tiene callerid
1739025169.34199,,,Tiene grabacion,No tiene callerid
1739025170.34203,,,Tiene grabacion,No tiene callerid
1739025179.34206,,,Tiene grabacion,No tiene callerid
1739025179.34207,,,Tiene grabacion,No tiene callerid
1739025183.34213,,,Tiene grabacion,No tiene callerid
1739025206.34225,,,Tiene grabacion,No tiene callerid
1739025222.34232,,,Tiene grabacion,No tiene callerid
1739025232.34238,,,Tiene grabacion,"}"")"
1739025241.34247,,,Tiene grabacion,No tiene callerid
1739025264.34249,,,Tiene grabacion,No tiene callerid
1739025273.34259,,,Tiene grabacion,No tiene callerid
1739025296.34264,,,Tiene grabacion,No tiene callerid
1739025322.3427,,,Tiene grabacion,No tiene callerid
1739025341.3428,,,Tiene grabacion,No tiene callerid
1739025345.34282,,,Tiene grabacion,No tiene callerid
1739025366.34284,,,Tiene grabacion,No tiene callerid
1739025378.34287,,,Tiene grabacion,No tiene callerid
1739025416.34304,,,Tiene grabacion,No tiene callerid
1739025421.34309,,,No tiene grabacion,No tiene callerid
1739025429.34312,,,Tiene grabacion,No tiene callerid
1739025437.34319,,,Tiene grabacion,No tiene callerid
1739025437.3432,,,Tiene grabacion,No tiene callerid
1739025440.34322,,,Tiene grabacion,No tiene callerid
1739025451.3433,,,Tiene grabacion,No tiene callerid
1739025476.34338,,,Tiene grabacion,No tiene callerid
1739025496.3434,,,Tiene grabacion,No tiene callerid
1739025519.34344,,,Tiene grabacion,No tiene callerid
1739025524.34346,,,Tiene grabacion,No tiene callerid
1739025532.34349,,,Tiene grabacion,No tiene callerid
1739025545.34358,,,Tiene grabacion,No tiene callerid
1739025576.3436,,,Tiene grabacion,No tiene callerid
1739025585.34362,,,Tiene grabacion,No tiene callerid
1739025589.34369,,,Tiene grabacion,No tiene callerid
1739025601.34375,,,Tiene grabacion,No tiene callerid
1739025614.34379,,,Tiene grabacion,No tiene callerid
1739025615.34382,,,Tiene grabacion,No tiene callerid
1739025635.34388,,,Tiene grabacion,No tiene callerid
1739025649.34392,,,Tiene grabacion,No tiene callerid
1739025659.34396,,,Tiene grabacion,No tiene callerid
1739025681.34401,,,Tiene grabacion,No tiene callerid
1739025688.34406,,,Tiene grabacion,No tiene callerid
1739025689.34407,,,Tiene grabacion,No tiene callerid
1739025691.34411,,,Tiene grabacion,No tiene callerid
1739025753.34431,,,Tiene grabacion,No tiene callerid
1739025762.34436,,,Tiene grabacion,No tiene callerid
1739025763.34438,,,Tiene grabacion,No tiene callerid
1739025771.34444,,,Tiene grabacion,No tiene callerid
1739025781.34446,,,Tiene grabacion,No tiene callerid
1739025789.34448,,,Tiene grabacion,No tiene callerid
1739025801.34456,,,Tiene grabacion,No tiene callerid
1739025825.34458,,,Tiene grabacion,No tiene callerid
1739025831.3446,,,Tiene grabacion,No tiene callerid
1739025865.34474,,,Tiene grabacion,No tiene callerid
1739025868.34476,,,Tiene grabacion,No tiene callerid
1739025879.34478,,,Tiene grabacion,No tiene callerid
1739025896.34489,,,Tiene grabacion,No tiene callerid
1739025896.34492,,,Tiene grabacion,No tiene callerid
1739025900.34494,,,Tiene grabacion,No tiene callerid
1739025908.34496,,,Tiene grabacion,No tiene callerid
1739025911.34499,,,Tiene grabacion,No tiene callerid
1739025936.34507,,,Tiene grabacion,No tiene callerid
1739025944.34511,,,Tiene grabacion,No tiene callerid
1739025955.34516,,,Tiene grabacion,No tiene callerid
1739025965.34519,,,No tiene grabacion,No tiene callerid
1739025969.34523,,,Tiene grabacion,No tiene callerid
1739026009.3454,,,Tiene grabacion,No tiene callerid
1739026014.34543,,,Tiene grabacion,"}"")"
1739026014.34544,,,Tiene grabacion,No tiene callerid
1739026048.3456,,,Tiene grabacion,No tiene callerid
1739026049.34562,,,Tiene grabacion,No tiene callerid
1739026050.34565,,,Tiene grabacion,No tiene callerid
1739026075.34574,,,Tiene grabacion,No tiene callerid
1739026084.34582,,,Tiene grabacion,No tiene callerid
1739026120.34593,,,Tiene grabacion,No tiene callerid
1739026125.34597,,,Tiene grabacion,No tiene callerid
1739026128.34599,,,Tiene grabacion,No tiene callerid
1739026134.34603,,,Tiene grabacion,No tiene callerid
1739026201.34625,,,Tiene grabacion,No tiene callerid
1739026202.34627,,,Tiene grabacion,No tiene callerid
1739026205.34629,,,Tiene grabacion,No tiene callerid
1739026227.34641,,,Tiene grabacion,No tiene callerid
1739026240.34664,,,Tiene grabacion,No tiene callerid
1739026266.34674,,,Tiene grabacion,No tiene callerid
1739026268.34678,,,Tiene grabacion,No tiene callerid
1739026272.34681,,,No tiene grabacion,No tiene callerid
1739026275.34684,,,Tiene grabacion,No tiene callerid
1739026280.34686,,,Tiene grabacion,No tiene callerid
1739026305.34702,,,Tiene grabacion,No tiene callerid
1739026326.34705,,,Tiene grabacion,No tiene callerid
1739026328.34711,,,Tiene grabacion,No tiene callerid
1739026376.3472,,,Tiene grabacion,No tiene callerid
1739026377.34722,,,Tiene grabacion,No tiene callerid
1739026425.3474,,,Tiene grabacion,No tiene callerid
1739026425.34741,,,Tiene grabacion,No tiene callerid
1739026428.34747,,,Tiene grabacion,No tiene callerid
1739026443.34754,,,Tiene grabacion,No tiene callerid
1739026456.34758,,,Tiene grabacion,No tiene callerid
1739026471.34761,,,Tiene grabacion,No tiene callerid
1739026473.34763,,,Tiene grabacion,No tiene callerid
1739026492.34772,,,Tiene grabacion,No tiene callerid
1739026523.34781,,,Tiene grabacion,No tiene callerid
1739026540.34789,,,Tiene grabacion,No tiene callerid
1739026544.34791,,,Tiene grabacion,No tiene callerid
1739026554.34793,,,Tiene grabacion,No tiene callerid
1739026587.34803,,,Tiene grabacion,No tiene callerid
1739026618.3481,,,Tiene grabacion,No tiene callerid
1739026620.34814,,,Tiene grabacion,No tiene callerid
1739026629.34817,,,Tiene grabacion,No tiene callerid
1739026635.3482,,,Tiene grabacion,No tiene callerid
1739026637.34823,,,Tiene grabacion,No tiene callerid
1739026637.34824,,,Tiene grabacion,No tiene callerid
1739026641.34829,,,Tiene grabacion,No tiene callerid
1739026650.34833,,,Tiene grabacion,No tiene callerid
1739026652.34835,,,Tiene grabacion,No tiene callerid
1739026655.34839,,,Tiene grabacion,No tiene callerid
1739026661.34843,,,Tiene grabacion,No tiene callerid
1739026664.34847,,,Tiene grabacion,No tiene callerid
1739026705.34871,,,Tiene grabacion,No tiene callerid
1739026718.34879,,,Tiene grabacion,No tiene callerid
1739026719.34882,,,Tiene grabacion,No tiene callerid
1739026733.34896,,,Tiene grabacion,No tiene callerid
1739026736.34902,,,Tiene grabacion,No tiene callerid
1739026768.34906,,,Tiene grabacion,No tiene callerid
1739026778.34909,,,Tiene grabacion,No tiene callerid
1739026784.34914,,,Tiene grabacion,No tiene callerid
1739026791.34917,,,Tiene grabacion,No tiene callerid
1739026798.34919,,,Tiene grabacion,No tiene callerid
1739026801.34924,,,Tiene grabacion,No tiene callerid
1739026802.34927,,,Tiene grabacion,No tiene callerid
1739026808.34931,,,Tiene grabacion,No tiene callerid
1739026827.34938,,,Tiene grabacion,No tiene callerid
1739026874.3495,,,Tiene grabacion,No tiene callerid
1739026881.34953,,,Tiene grabacion,No tiene callerid
1739026883.34957,,,Tiene grabacion,No tiene callerid
1739026895.34967,,,Tiene grabacion,No tiene callerid
1739026898.3497,,,Tiene grabacion,No tiene callerid
1739026902.3498,,,Tiene grabacion,No tiene callerid
1739026911.34987,,,Tiene grabacion,No tiene callerid
1739026943.3501,,,Tiene grabacion,No tiene callerid
1739026948.35014,,,Tiene grabacion,No tiene callerid
1739026952.35025,,,Tiene grabacion,No tiene callerid
1739026962.3503,,,Tiene grabacion,No tiene callerid
1739026977.35037,,,Tiene grabacion,No tiene callerid
1739026992.35043,,,Tiene grabacion,No tiene callerid
1739026995.35047,,,Tiene grabacion,No tiene callerid
1739027002.35049,,,Tiene grabacion,No tiene callerid
1739027013.35055,,,Tiene grabacion,No tiene callerid
1739027014.35056,,,Tiene grabacion,No tiene callerid
1739027018.35064,,,Tiene grabacion,No tiene callerid
1739027027.35071,,,Tiene grabacion,No tiene callerid
1739027031.35074,,,Tiene grabacion,No tiene callerid
1739027041.35076,,,Tiene grabacion,No tiene callerid
1739027060.3509,,,Tiene grabacion,No tiene callerid
1739027080.35104,,,Tiene grabacion,No tiene callerid
1739027085.35109,,,Tiene grabacion,No tiene callerid
1739027098.35118,,,Tiene grabacion,No tiene callerid
1739027112.35134,,,Tiene grabacion,No tiene callerid
1739027113.35135,,,Tiene grabacion,No tiene callerid
1739027118.35139,,,Tiene grabacion,No tiene callerid
1739027119.35141,,,Tiene grabacion,No tiene callerid
1739027120.35144,,,Tiene grabacion,No tiene callerid
1739027139.35152,,,Tiene grabacion,No tiene callerid
1739027143.35156,,,Tiene grabacion,No tiene callerid
1739027168.35163,,,Tiene grabacion,No tiene callerid
1739027177.35168,,,Tiene grabacion,No tiene callerid
1739027190.35174,,,Tiene grabacion,No tiene callerid
1739027190.35175,,,Tiene grabacion,No tiene callerid
1739027192.3518,,,Tiene grabacion,No tiene callerid
1739027211.35186,,,Tiene grabacion,No tiene callerid
1739027230.35191,,,Tiene grabacion,No tiene callerid
1739027246.35202,,,Tiene grabacion,No tiene callerid
1739027249.35204,,,Tiene grabacion,No tiene callerid
1739027252.35209,,,Tiene grabacion,No tiene callerid
1739027258.35214,,,Tiene grabacion,No tiene callerid
1739027294.35217,,,Tiene grabacion,No tiene callerid
1739027299.35219,,,Tiene grabacion,No tiene callerid
